Full Name	User Action	Timestamp
So Okada	Joined	7/4/2020, 9:52:19 AM
Tanha Hoeri	Joined before	7/4/2020, 9:52:19 AM
Genj Yaas	Joined before	7/4/2020, 9:52:19 AM
Naen Hajita	Joined before	7/4/2020, 9:52:19 AM
Naen Hajita	Left	7/4/2020, 10:19:35 AM
Naen Hajita	Joined	7/4/2020, 10:21:44 AM
Sarako Thoma	Joined before	7/4/2020, 9:52:19 AM
Sarako Thoma	Left	7/4/2020, 10:35:11 AM
Sarako Thoma	Joined	7/4/2020, 10:35:30 AM
Bowge Syr	Joined before	7/4/2020, 9:52:19 AM
Bowge Syr	Left	7/4/2020, 9:58:50 AM
Makota Teeni	Joined before	7/4/2020, 9:52:19 AM
Makota Teeni	Left	7/4/2020, 10:12:01 AM
Makota Teeni	Joined	7/4/2020, 10:12:20 AM
Makota Teeni	Left	7/4/2020, 10:42:53 AM
山田たいう	Joined before	7/4/2020, 9:52:19 AM
Hue Jeppa	Joined	7/4/2020, 9:53:17 AM
Mouma Neew	Joined	7/4/2020, 9:54:31 AM
Mouma Neew	Left	7/4/2020, 9:58:48 AM
Mouma Neew	Joined	7/4/2020, 9:59:39 AM
Taraya da Silvane	Joined	7/4/2020, 9:54:40 AM
